Name,Team,Batting Style,Innings Batted,Runs,Balls Faced,Batting SR,Batting AVG,Batting Position,Boundary %
V Kohli,Royal Challengers Bengaluru,Right hand Bat,15,741,31.933333333333334,154.6972860125261,61.75,1,0.6423751686909581
TM Head,Sunrisers Hyderabad,Left hand Bat,15,563,19.6,191.49659863945578,40.214285714285715,2,0.7886323268206039
SV Samson,Rajasthan Royals,Right hand Bat,15,530,22.866666666666667,154.51895043731778,53,3,0.6339622641509434
Shubman Gill,Gujarat Titans,Right hand Bat,12,426,24.083333333333332,147.40484429065742,42.6,2,0.5586854460093896
RD Gaikwad,Chennai Super Kings,Right hand Bat,14,579,29.428571428571427,140.53398058252426,52.63636363636363,2,0.5803108808290155
B Sai Sudharsan,Gujarat Titans,Left hand Bat,12,522,30.75,141.46341463414635,47.45454545454545,3,0.5632183908045977
