player_name,team,batting_style,Total Innings Batted,Total Runs,Avg. balls Faced,Strike rate,Batting Avg,Batting Position,Boundary %
R Parag,Rajasthan Royals,Right hand Bat,14,573,27.357142857142858,149.60835509138383,52.09090909090909,4,0.62478184991274
RR Pant,Delhi Capitals,Left hand Bat,13,446,22.076923076923077,155.4006968641115,40.54545454545455,5,0.6591928251121076
SV Samson,Rajasthan Royals,Right hand Bat,15,530,22.866666666666667,154.51895043731778,53,3,0.6339622641509434
Tilak Varma,Mumbai Indians,Left hand Bat,13,415,21.307692307692307,149.81949458483754,41.5,5,0.6120481927710844
