team,player_name,player_full_name,batting_style,bowling_style,playing_role
Chennai Super Kings Squad,Daryl Mitchell,Daryl Joseph Mitchell,Right hand Bat,Right arm Medium,Batting Allrounder
Chennai Super Kings Squad,Ajay Mandal,Ajay Jadav Mandal,Left hand Bat,Slow Left arm Orthodox,Allrounder
Chennai Super Kings Squad,Ravindra Jadeja,Ravindrasinh Anirudhsinh Jadeja,Left hand Bat,Slow Left arm Orthodox,Allrounder
Chennai Super Kings Squad,Rajvardhan Hangargekar,Rajvardhan S Hangargekar,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Chennai Super Kings Squad,Shivam Dube,Shivam Dube,Left hand Bat,Right arm Medium,Allrounder
Chennai Super Kings Squad,Moeen Ali,Moeen Munir Ali,Left hand Bat,Right arm Offbreak,Batting Allrounder
Chennai Super Kings Squad,Devon Conway,Devon Philip Conway,Left hand Bat,Right arm Medium,Occasional Wicketkeeper
Chennai Super Kings Squad,Sameer Rizvi,Sameer Rizvi,Right hand Bat,Right arm Offbreak,Batter
Chennai Super Kings Squad,Shaik Rasheed,Shaik Rasheed,Right hand Bat,Legbreak,Batter
Chennai Super Kings Squad,Ajinkya Rahane,Ajinkya Madhukar Rahane,Right hand Bat,Right arm Medium,Top order Batter
Chennai Super Kings Squad,MS Dhoni,Mahendra Singh Dhoni,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Chennai Super Kings Squad,Aravelly Avanish,Aravelly Avanish,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Chennai Super Kings Squad,Ruturaj Gaikwad,Ruturaj Dashrat Gaikwad,Right hand Bat,Right arm Offbreak,Batter
