match_id,inning,batter,runs,balls,fours,sixes,batting_position,out/not out,SR,match
1426262,Gujarat Titans,R Tewatia,22,11,3,0,6,out,200.0,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,Rashid Khan,20,10,3,0,8,not out,200.0,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,Shubman Gill,72,44,6,2,2,not out,163.64,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,V Shankar,16,10,3,0,5,out,160.0,Gujarat Titans vs Rajasthan Royals
1426263,Royal Challengers Bengaluru,Akash Deep,2,2,0,0,10,not out,100.0,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,F du Plessis,61,40,4,3,2,out,152.5,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,GJ Maxwell,0,4,0,0,5,out,0.0,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,KD Karthik,53,23,5,4,6,not out,230.43,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,MK Lomror,0,1,0,0,7,out,0.0,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,RM Patidar,50,26,3,4,4,out,192.31,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,Saurav Chauhan,9,8,1,0,8,out,112.5,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,V Kohli,3,9,0,0,1,out,33.33,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,Vijaykumar Vyshak,0,1,0,0,9,out,0.0,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Royal Challengers Bengaluru,WG Jacks,8,6,2,0,3,out,133.33,Royal Challengers Bengaluru vs Mumbai Indians
1426263,Mumbai Indians,HH Pandya,21,6,0,3,4,not out,350.0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,Ishan Kishan,69,34,7,5,1,out,202.94,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,RG Sharma,38,24,3,3,2,out,158.33,Mumbai Indians vs Royal Challengers Bengaluru
